COMPANY_NAME,PT_SEAFOOD_DATABASE_ID,COUNTRY_HQ,MAIN_SEGMENT,SEG_FEED,SEG_FISHING,SEG_AQUACULTURE,SEG_PROCESSING,SEG_WHOLESALE,SEG_RETAIL,SEG_FOODSERVICE,DESCRIPTION,WEBSITE,REVENUE_USD_MN,MARKET_CAP_USD_MN,EBIT_MARGIN,RETURN_ON_EQUITY,ENTERPRISE_VALUE_USD_MN,NET_DEBT_EBITDA,SUSTAINABILITY_ASSESSMENT_CAT1_TRANSPARENCY_SCORE,SUSTAINABILITY_ASSESSMENT_CAT2_OCEAN_HEALTH_SCORE,SUSTAINABILITY_ASSESSMENT_CAT3_MANAGEMENT_GOVERNANCE_SCORE,SUSTAINABILITY_ASSESSMENT_CAT4_FISHING_PRACTICES_SCORE,SUSTAINABILITY_ASSESSMENT_CAT5_COMPLIANCE_ENFORCEMENT_SCORE,SUSTAINABILITY_ASSESSMENT_CAT6_STOCK_SUSTAINABILITY_SCORE,REPORTING_PRECISION,N_DISTINCT_COUNTRIES,N_DISTINCT_SPECIES,SPECIES_CLEAN,REGIONS
ATLANTIC SAPPHIRE ASA,ID_11,Norway,Aquaculture,Yes,No,Yes,Yes,Yes,No,Yes,"Atlantic Sapphire is a land-based aquaculture company specializing in farming salmon using Recirculating Aquaculture Systems (RAS) for distribution in Denmark, the US, and other international markets.",https://atlanticsapphire.com,22.819,56.236088279,,-68.860345864,49.010890943,-0.4257814945,2,3,3,0,2,3,,0,1,Atlantic Salmon,
ATUNSA,ID_271,Spain,Fishing,No,Yes,No,Yes,No,No,No,"Atunsa is a Spanish tuna company based in Bermeo that fishes tropical tunas with modern vessels and operates a refrigeration plant, producing a wide range of canned and frozen tuna products for global markets.",www.atunsa.com,,,,,,,1,2,2,2,1,2,0.5889187833,3,2,"Katsuwonus Pelamis, Thunnus Albacares","Atlantic Ocean, Indian Ocean, Spain"
AUSTEVOLL SEAFOOD ASA,ID_12,Norway,Integrated,Yes,Yes,Yes,Yes,Yes,No,No,"Austevoll Seafood ASA is a parent company for five fishing enterprises in Norway and Chile, involved in the full spectrum of fishing, farming, processing, and distribution of seafood.",http://www.auss.no,3288.45343106,712.845692976,10.544025247,17.230873616,3744.746304129,1.667503034,2,2,3,1,1,3,0.7820799192,6,17,"Chionoecetes Opilio, Engraulis Ringens, Finfish, Gadus Morhua, Melanogrammus Aeglefinus, Micromesistius Poutassou, Oncorhynchus Mykiss, Pelagic Fish, Pollachius Virens, Salmo Salar, Salmon, Sebastes, Snow Crab, Trachurus Murphyi, Trout, Whitefish","Chile, Denmark, Ireland, Norway, Peru, Uk"
AUSTRAL FISHERIES,ID_13,Australia,Fishing,No,Yes,No,Yes,Yes,No,No,"Austral Fisheries is a leading Australian commercial fishing company specializing in wild-caught seafood, with a primary focus on toothfish, prawns, and other marine species.",https://www.australfisheries.com.au,,,,,,-0.3339591875,3,3,3,2,3,3,0.883701307,1,9,"Banana Prawn, Endeavour Prawn, Goldband Snapper, Mackerel Icefish, Mixed Cod, Red Emperor, Saddletail Snapper, Tiger Prawn, Toothfish",Australia
AUSTRALIS SEAFOODS SA,ID_14,Chile,Integrated,No,Yes,Yes,Yes,Yes,No,No,"Australis Seafoods is a company specializing in the farming, processing, and export of salmon and trout.",http://www.australis-seafoods.com,,,,,,,2,2,1,0,1,2,0.5903258987,1,3,"Atlantic Salmon, Pacific Salmon, Trout",Chile
AVANTI FEEDS LIMITED,ID_15,India,Integrated,Yes,No,Yes,Yes,No,No,No,"Avanti Feeds Limited, an integrated aquaculture company and associate of Thai Union Group Public Company Limited (15.43% holding), specializes in shrimp feed production and shrimp processing.",http://www.avantifeeds.com,634.845357775,231.242081712,6.660790964,16.011872054,656.811952172,-3.481303303,2,2,3,0,2,3,0.03411500158,3,2,"Prawn, Shrimp","Bangladesh, India, Usa, Europe, Japan, Australia, China, Middle East, Canada"
BAC LIEU FISHERIES,ID_16,Viet Nam,Aquaculture,No,Yes,Yes,Yes,Yes,No,No,"Bac Lieu Fisheries JSC is a Vietnam-based company involved in the production, processing, aquaculture, and fishing of seafood, including frozen products like shrimp, fish, surimi, and vegetables. The company also trades agricultural materials and distributes products both domestically and exports to Asia, Europe, and the Middle East.",https://www.baclieu-vegetables.vn,24.262674856,,1.547109717,3.733530532,,5.857394694,1,1,1,1,1,1,0.05400462943,1,2,"Shrimp, Squid",Vietnam
BAIYANG INVESTMENT GROUP INC,ID_17,China,Integrated,Yes,Yes,Yes,Yes,Yes,No,No,"Baiyang is a China-based, integrated seafood company involved in fishing, farming, processing, feed production, and global distribution of species including tilapia, shrimp, and grass carp.",http://www.baiyang.com,421.632921687,,-0.8471996157,-1.117462083,259.254621957,2.174882615,1,1,1,1,2,1,0.06796414496,2,4,"Cichlidae, Oreochromis, Shrimp, Tilapia","China (Specifically In Guangxi, Guangdong, And Hainan Provinces), United States, European Union, Middle East, Latin America, Russia, Mexico, Canada"
BAKKAFROST P/F,ID_18,Faroe Islands,Integrated,Yes,No,Yes,Yes,Yes,No,No,"Bakkafrost is a Faroe Islands-based seafood company specializing in the farming, harvesting, processing, and distribution of seafood.",http://www.bakkafrost.com,1031.36150979,2766.060727027,18.990655376,6.026481333,3751.982182889,1.537104874,3,3,3,2,2,3,0.8969645478,8,5,"Atlantic Herring, Atlantic Mackerel, Atlantic Salmon, Blue Whiting, Salmon","Denmark, England, Faroe Islands, Greenland, Iceland, Norway, Scotland, Usa"
BEAVER STREET FISHERIES,ID_19,United States of America,Processing,No,No,No,Yes,Yes,Yes,Yes,"Beaver Street Fisheries is a Jacksonville, Florida-based, vertically integrated company that imports, exports, manufactures, and distributes a diverse array of frozen seafood and meat products globally for wholesale, retail, institutional, and foodservice customers.",https://www.beaverstreetfisheries.com,,,5.579065,0.210249,,0.407921605,3,2,3,2,2,3,0.6269158381,2,47,"Ahi Tuna, Alligator, Atlantic Salmon, Blue Runners, Calamari, Catfish, Chilean Atlantic Salmon, Chilean Sea Bass, Cichlidae, Clam, Cod, Conch, Corvina, Crabs, Crawfish, Flounder/Sole, Frog, Grouper, H&G Flounder, Haddock, Halibut, Hogfish, Keta Salmon, Langostino, Lobsters, Longostino, Mahii Mahi, Mussel, Octopodidae, Octopus, Orange Roughy, Oysters, Pacific Rockfish, Pangasius/Swai, Perch, Redfish, Salmon, Scallops, Shrimp, Snapper, Squid, Swordfish, Tilapia, Whiting, Yellowfin Tuna","Bahamas, Us"
BIOMAR GROUP,ID_20,Denmark,Feed,Yes,No,No,No,No,No,No,"BioMar is a global leader specializing in aquaculture feeds, providing products for over 45 types of fish and shrimp species across more than 80 countries.",https://www.biomar.com,,,,,,,3,3,3,2,2,3,0.8394398216,17,25,"Alaska Pollock, Anchoveta, Anchovy, Antarctic Krill, Atlantic Cod, Atlantic Herring, Atlantic Mackerel, Blue Whiting, Chub Mackerel, European Pilchard, European Sprat, Haddock, Hake, Jack Mackerel, Japanese Anchovy, Norway Pout, Pilchard, Saithe, Salmon, Sand Eel, Sardinella, Skipjack Tuna, Trout, Yellowfin Tuna","Australia, Chile, China, Costa Rica, Denmark, Finland, France, Germany, Greece, Italy, Poland, Russia, Scotland, Spain, Sweden, Turkey, Vietnam"
BLUMAR SA,ID_21,Chile,Integrated,Yes,Yes,Yes,Yes,No,No,No,"Blumar SA is engaged in fishing and aquaculture, specializing in the production of frozen and fresh salmon, frozen horse mackerel, and fish oil and meal.",http://www.blumar.com,618.037525581,114.236767729,10.024201316,3.974482121,599.004896011,3.1237821,2,2,2,1,1,2,0.4219087579,1,12,"Anchoveta, Anchovy, Atlantic Salmon, Coho Salmon, Hake, Mackerel, Mussel, Pacific Salmon, Pelagic Fish, Salmon, Trout, White Fish",Chile
BOLTON GROUP,ID_22,Italy,Processing,No,No,No,Yes,Yes,Yes,No,"Bolton Group is a diversified Italian company operating in food (mainly tuna and seafood-related products, pet foods, and vinegar), home care, personal care, beauty care, and adhesives sectors.",https://www.boltongroup.net,,,,,,24.362813908,3,3,3,2,2,2,0.6072657049,7,11,"Anchovy, Atlantic Mackerel, Bigeye Tuna, Clam, Mussel, Prawn, Salmon, Skipjack Tuna, Squid, Tuna, Yellowfin Tuna","Agadir, Cabo De Cruz, Cermenate, Manta, Noro, O’grove, Quimper"
BREMNES SEASHORE,ID_23,Norway,Aquaculture,No,No,Yes,Yes,No,No,No,"Bremnes Fryseri is a real estate holding company that owns several firms involved in the salmon industry, including Bremnes Seashore (smolt production, salmon harvesting, and processing), Salmon Brands (SALMA brand sales and marketing), and Sjór (global sales of whole and processed salmon).",http://www.seashore.no,,,,,,,2,2,2,0,2,0,0.6197031547,4,2,"Atlantic Salmon, Salmon","Hardanger, Rogaland, Sunnhordland, World"
BRIGHT FOOD GROUP,ID_24,China,Processing,No,No,No,Yes,Yes,Yes,No,"Bright Food (Group) Co Ltd. is a Chinese food and beverage manufacturer and distributor with operations spanning agriculture, food service, processing, production, and distribution. Its seafood interests are primarily handled by its subsidiary, Shanghai Kaichuang Marine International.",https://www.brightfood.com,,,,,,,1,1,1,1,2,1,0.7129751048,5,6,"Peony Shrimp, Red Shrimp, Scombridae, Sockeye (Salmon), Tuna","Argentina, China, Kiribati, Marshall Islands, Spain"
BRIM HF,ID_25,Iceland,Fishing,No,Yes,No,Yes,No,No,No,Brim is a company involved in the fishing and processing of ground fish and pelagic fish.,http://www.hbgrandi.is,421.212318367,456.432185961,11.773271869,8.557520557,1397.298402484,5.15907146,2,3,3,2,2,3,0.5786614823,2,9,"Blue Whiting, Cod, Greenland Halibut, Haddock, Herring, Mackerel, Redfish, Saithe, Silver Smelt","Iceland, North Atlantic"
BRUNSWICK CORP,ID_26,United States of America,Other,No,No,No,No,No,No,No,"The Company specializes in the design, manufacturing, and marketing of recreational marine products, including propulsion systems, boats, and associated parts and accessories for both marine and RV sectors.",http://www.brunswick.com,5237.1,4196.126968193,8.090355349,7.503078121,6587.432,3.127017544,0,2,3,0,0,0,0.8665957824,4,1,Katsuwonus Pelamis,"Canada, Bay Of Fundy, Canada, Caribbean, Caribbean, South East Asia"
CAMIL ALIMENTOS,ID_27,Brazil,Processing,No,No,No,Yes,No,No,No,"Camil Alimentos SA is an agricultural company involved in the production and commercialization of food products, including rice, beans, sugar, soy, pea, canned tuna, and canned sardine.",https://camilalimentos.com.br/,2087.545534848,155.052354968,5.560121131,11.840935032,1109.403735934,3.32871481,2,2,2,2,1,1,0.6714281628,3,3,"Katsuwonus Pelamis, Sardinella Brasiliensis, Tuna","Atlantic Ocean, Atlantic Ocean (Brazilian Coast), Brazil"
CARGILL,ID_28,United States of America,Feed,Yes,No,No,No,No,No,No,"Cargill is a provider of essential food, agricultural, financial, and industrial products. Its food segment includes a seafood line focusing on salmon, mussels, shrimp, and tilapia.",https://www.cargill.com,,,,,,,2,2,3,1,2,3,0.4026507191,16,8,"Cichlidae, Mussel, Oreochromis Niloticus, Salmo Salar, Salmon, Shrimp, Tilapia","Africa, Asia Pacific, Chile, China, Ecuador, Europe, India, Indonesia, Mexico, Middle East, North America, Norway, Scotland, South America, Thailand, Vietnam"
CAROLINE FISHERIES,ID_272,,Fishing,No,Yes,No,No,No,No,No,Caroline Fisheries Corporation is a purse‑seine tuna company fishing tropical tuna and running shore‑side support facilities for its own and other vessels,no website,,,,,,,1,2,2,2,2,3,0.1889814806,1,3,"Katsuwonus Pelamis, Thunnus Albacares, Thunnus Obesus",Western And Central Pacific Ocean
CENTURY PACIFIC FOOD INC,ID_29,Philippines,Processing,No,No,No,Yes,Yes,Yes,No,"Century Pacific Food Inc. is a leading branded food company in the Philippines that manages the entire process (from purchasing and processing to canning, packaging, and manufacturing) for a broad spectrum of products, including fish, seafood, meat, produce, and agricultural items.",https://centurypacific.com.ph,1317.700243867,893.168857522,9.969662238,18.460158839,2632.11265659,0.2155991361,2,2,3,1,2,3,0.7129751048,1,2,"Sardines, Tuna",Philippines
CERMAQ,ID_30,Norway,Aquaculture,No,No,Yes,No,No,No,No,"Cermaq is a global salmon producer, headquartered in Norway, specializing in the production of Atlantic and Coho salmon with operations in Norway, Canada, and Chile.",https://www.cermaq.com,,,,,,-0,3,2,3,0,2,3,1,3,3,"Atlantic Salmon, Coho Salmon, Salmo Salar","Canada, Chile, Norway"
CHAROEN POKPHAND FOODS,ID_31,Thailand,Aquaculture,Yes,No,Yes,Yes,Yes,Yes,Yes,"CPF is an agro-industrial and food conglomerate with three main divisions: Feed, Farm (raising swine, poultry, shrimp, and fish), and Food. It is involved in livestock and aquaculture and also operates retail and food outlets.",https://www.cpfworldwide.com,16456.594128047,,5.959347374,8.27512801,21086.925003666,7.472462823,2,2,3,1,2,2,0.7461440135,7,9,"Catfish, Cichlidae, Macrobrachium Rosenbergii, Oreochromis Niloticus, Penaeus Monodon, Shrimp, Tilapia","China, India, Malaysia, Philippines, Thailand, Usa, Vietnam"
CHINA NATIONAL AGRICULTURAL DEVELOPMENT GROUP,ID_273,China,Integrated,Yes,Yes,Yes,Yes,Yes,No,No,"China National Agricultural Development Group Co., Ltd. (CNADC) is a Chinese state-owned conglomerate that develops and manages agricultural and fishery resources across the entire value chain, from pelagic fishing and livestock health to seeds, insurance, and trade.",www.cnadc.com,,,,,,,1,1,2,1,1,1,0.2146066897,8,4,"Gadus, Ommastrephidae, Thunnus","Atlantic Ocean, Indian Ocean, North Pacific Ocean, Sea Of Japan, South Pacific Ocean, Southeast Pacific Ocean (Off Peru), Southwest Atlantic Ocean (Off Argentina), Vanuatu"
CHINA NATIONAL FISHERIES CORPORATION,ID_32,China,Fishing,No,Yes,No,Yes,Yes,No,No,"CNFC National Fisheries, a subsidiary of China National Fisheries Corporation (CNFC), is one of China's largest fisheries companies, managing a fleet of over 200 fishing vessels and operating globally in more than 20 countries.",https://cnfc.cnadc.com.cn,,,,,,,1,1,2,1,1,1,0.1968335168,10,9,"Crab, Euphausia Superba, Lobster, Scombridae, Shellfish, Squid, Tuna","Antarctic Ocean, Antartic Waters, Atlantic Ocean, Global (Europe, Africa, United States, Japan, South Korea, Middle East, China), Indian Ocean, Japan Sea, North Pacific Ocean, Pacific Ocean, South Pacific Ocean, Vanuatu"
CHINA SOUTHERN FISHERIES,ID_274,China,Fishing,No,Yes,Yes,No,Yes,No,No,"China Southern Fishery (Shenzhen) Co. Ltd. specializes in distant-water fishing and tuna processing. The company possesses multiple fishing licenses and supplies seafood, primarily tuna, sourced from operations in the EEZs of the Pacific.",no website,,,,,,,2,3,3,2,2,3,,0,0,,
CHISHAN GROUP,ID_292,China,Integrated,No,Yes,No,Yes,Yes,No,No,"Chishan Group is a Chinese seafood company specializing in the processing and international export of frozen seafood, including squid and various fish. It is vertically integrated, managing the supply chain from raw material sourcing to delivery.",http://www.sdchishan.com/index.html,,,,,,,1,1,1,1,1,1,0.3621364384,5,1,Illex,"China (Rongcheng, Shandong), Indian Ocean, North Pacific Ocean, Pacific Ocean (Peruvian Waters), Southwest Atlantic Ocean (Argentine Waters)"
CHOKYUMARU SUISAN,ID_33,Japan,Fishing,No,Yes,No,Yes,Yes,No,No,"Chokyumaru Suisan is a Japanese company focused on tuna fishing, processing, and distribution.",,,,,,,,1,1,1,2,1,1,0.5969554841,5,16,"Albacore Tuna, Bigeye Tuna, Bluefin Tuna, Bonito, Katsuwonus Pelamis, Pectinidae, Salmon, Scallop, Sea Urchin, Shellfish, Shrimp, Thunnus Alalunga, Thunnus Thynnus, Yellowfin Tuna","Coastal Japan, Japan, Minamiise, Mie, Japan, Owase, Mie, Japan, Various Oceans (Distant Water Longline)"
CHUBU SUISAN CO LTD,ID_34,Japan,Wholesale/Distribution,No,Yes,No,Yes,Yes,No,Yes,"Chubu Suisan is a Japanese wholesale distributor specializing in fresh, frozen, and processed marine products, as well as prepared side dishes.",,238.799700309,12.070006942,0.9544592831,2.55550931,-15.417633476,-15.796556139,1,1,1,1,1,2,,0,23,"Abalone, Bigeye Tuna, Blue Fish, Bluefin Tuna, Bonito, Crab, Eel Kabayaki, Flounder, Herring Roe, Mackerel, Marlin, Oysters, Pacific Saury, Salmon, Sardines, Scallops, Shellfish, Shrimp, Squid, Trout, Tuna, Yellowfin Tuna, Yellowtail",
CJ SEAFOOD,ID_35,Republic of Korea,Processing,No,Yes,No,Yes,Yes,No,No,"CJ Seafood is a South Korean processor of prepared meat and seafood products, including fish cakes, ham, sausages, dried seaweed, and various pickled and preserved seafood items. Founded in 1976 and headquartered in Seongnam, South Korea.",https://www.cjseafood.net,142.08649145,40.946002352,2.249597206,6.208925428,102.102088022,2.926631824,1,1,2,1,1,1,0.1954963768,1,6,"Clam, Mackerel, Salmon, Scomber, Shrimp, Squid",South Korea
CLEAN SEAS SEAFOOD LIMITED,ID_36,Australia,Aquaculture,No,No,Yes,Yes,Yes,No,No,"Clean Seas manages the entire process of breeding, producing, and selling Yellowtail Kingfish.",,,,,,,-0.2677130352,3,3,3,0,2,0,0.7957439915,8,3,"Seriola Lalandi, Thunnus Maccoyii, Yellowtail Kingfish","Adelaide, South Australia, Australia, Arno Bay, South Australia, Australia, Asia, Australia, Europe, Fitzgerald Bay, Spencer Gulf, South Australia, Australia, North America, Port Lincoln, South Australia, Australia"
CLEARWATER SEAFOODS INC,ID_37,Canada,Integrated,No,Yes,No,Yes,Yes,No,No,"Clearwater Seafood Inc. is a company involved in the complete cycle of seafood management, including harvesting, processing, marketing, and distribution.",http://www.clearwater.ca,,,,,,,2,2,3,1,1,2,0.5129668064,2,18,"Canadian Lobster, Capelin, Chionoecetes, Clam, Groundfish, Langoustine, Lobster, Nephropidae, Norway Lobster, Pectinidae, Rock Crab, Scallop, Shellfish, Shrimp, Snow Crab, Whelk","Argentina, Canada"
CMC SEAFOOD,ID_38,Viet Nam,Processing,No,No,No,No,Yes,No,No,"CMC Seafood is a US-based seafood wholesaler distributing various shrimp species (including black tiger, white, pink, and cat tiger shrimp) primarily sourced from farms in Vietnam.",https://cmcseafood.com,,,,,,,1,1,1,0,1,0,0.9160133733,3,6,"Black Tiger Shrimp, Cat Tiger Shrimp, Penaeus Monodon, Pink Shrimp, White Shrimp","Ca Mau, Vietnam, California, Usa, Vietnam"
CNFC OVERSEAS FISHERIES CO LTD,ID_39,China,Fishing,No,Yes,No,Yes,No,Yes,No,"CNFC Overseas Fisheries Co., Ltd. is a Chinese enterprise focused on the integrated deep-sea fisheries supply chain, including fishing, processing, storage, transport, and the international trade of ocean aquatic products.",https://cofc.cnadc.com.cn,683.583077299,,-5.409221419,-25.434308682,921.708284591,-196.38728403,1,1,1,1,1,1,0.4638115997,3,10,"Albacore Tuna, Atlantic Bluefin Tuna, Bigeye Tuna, Scombridae, Shellfish, Squid, Tuna, Yellowfin Tuna","China, North Pacific Ocean, South Atlantic Ocean, Indian Ocean, Southwest Pacific Ocean, South Atlantic Ocean (Argentinean Squid), Pacific Ocean (Peruvian Squid)"
COAST SEAFOOD AS,ID_40,Norway,Integrated,No,No,Yes,Yes,Yes,No,No,"Coast Seafood AS is a Norwegian company specializing in the processing and global distribution of fresh and frozen fish, including organic salmon, trout, halibut, cod, pelagic fish, and white fish.",http://www.coast.no,,,,,,-1.775748946,1,1,2,1,1,2,0.8286671924,7,19,"Atlantic Salmon, Clupea Harengus, Cod, Fjord Trout, Gadus Morhua, Haddock, Herring, Mackerel, Melanogrammus Aeglefinus, Oncorhynchus Mykiss, Paralithodes Camtschaticus, Pollachius Virens, Salmo Salar, Scomber Scombrus, Shellfish, Trout, Whitefish","Germany (Handewitt), Norway (Kjøllefjord), Norway (Måløy), Norway (Norwegian Coastline), Norway (Norwegian Coastline, Including Organic From Senja), Norway (Sotra Fiskeindustri), Norway (Årvikbruket, Kjøllefjord)"
