COMPANY_NAME,CATEGORY,ASSESSMENT_TEXT
AKER BIOMARINE AS,Transparency,"Good. Aker BioMarine demonstrates a high level of transparency by focusing on a single, clearly identified species and sourcing region, and offering 100% traceability to the consumer. The company provides comprehensive sustainability reports and is certified by credible third parties, though it is not a member of the Ocean Disclosure Project."
AKVA GROUP ASA,Compliance Enforcement,"Not Applicable. This category is not applicable to AKVA Group's business model. The company does not source wild-caught seafood, so policies related to IUU fishing are not relevant to its operations."
AKVA GROUP ASA,Fishing Practices,Not Applicable. This category is not applicable to AKVA Group's business model. The company is a technology and service supplier to the aquaculture industry and does not engage in wild-capture fishing.
AKVA GROUP ASA,Management Governance,"Good. AKVA Group demonstrates strong governance with clear board-level oversight of sustainability initiatives, as detailed in its public reports. The company actively advocates for improved aquaculture management through technological innovation and collaborates with scientific institutions and industry partners to advance sustainable practices."
AKVA GROUP ASA,Ocean Health,"Good. The company actively develops and promotes technologies that help reduce the environmental footprint of its customers, such as systems for collecting waste and reducing sea lice. It has also set a public, quantifiable target for reducing its own greenhouse gas emissions, and its leadership is directly involved in the high-level SeaBOS ocean stewardship initiative."
AKVA GROUP ASA,Stock Sustainability,"Not Applicable. This category is not applicable to AKVA Group's business model. The company's operations do not involve sourcing from wild fisheries, so it does not engage with stock assessments or commitments related to avoiding overfished stocks."
AKVA GROUP ASA,Transparency,"Average. AKVA Group is transparent about its business model and the digital traceability solutions it provides to customers. However, it lacks public disclosure on the proportion of its own products and manufacturing processes covered by credible third-party certifications, which is a key area of transparency for a technology hardware company."
ALBACORA GROUP,Compliance Enforcement,"Poor. Despite stated policies, the company was accused, charged and convicted of significant IUU fishing violations by NOAA, Greenpeace and others. There is a lack of recent public evidence demonstrating proactive enforcement of its policies by suspending non-compliant vessels. "
ALBACORA GROUP,Fishing Practices,"Average. The company discloses its fishing methods and has measures in place to mitigate bycatch and the impacts of FADs. However, it does not publicly quantify its bycatch rates, which limits a full assessment of its impact."
ALBACORA GROUP,Management Governance,Good. Albacora Group demonstrates strong engagement with scientific bodies and advocates for better management through RFMOs and industry associations. There is also evidence of board-level oversight for sustainability matters.
ALBACORA GROUP,Ocean Health,"Average. The company participates in recognized ocean stewardship initiatives and projects to mitigate the impact of its fishing gear. However, it does not provide clear, publicly available quantitative targets for key ocean health metrics like carbon and bycatch reduction."
ALBACORA GROUP,Stock Sustainability,"Average. Albacora Group demonstrates a commitment to sourcing from sustainable stocks through its engagement with RFMOs, scientific collaborations, and participation in FIPs aimed at MSC certification. The company shows awareness of the status of the stocks it fishes. However, Planet Tracker's investigation shows Albacora is likely one of the largest harvesters of tuna species threatened with extinction."
ALBACORA GROUP,Transparency,"Average. Albacora Group publishes the name of the species it catches, but not the locations, nor volumes.  We estimate Albacora is the sixth largest harvester of tuna globally. There is also no indication of any traceability system used."
ALDA SEAFOOD,Compliance Enforcement,"Average. Alda Seafood has publicly available compliance policies, including a Code of Conduct, to prevent IUU fishing. However, there is no publicly available evidence of the enforcement of these policies, which prevents a higher rating."
ALDA SEAFOOD,Fishing Practices,"Poor. There is a significant lack of publicly disclosed information regarding detailed fishing methods, gear selectivity, and, most notably, quantified bycatch and discard data. While the investment in a new trawler with full catch utilization is a positive step, the overall lack of transparency in this area leads to a ""Poor"" rating."
ALDA SEAFOOD,Management Governance,"Good. Alda Seafood has established board-level oversight for sustainability and collaborates with scientific institutions to support fisheries management. Through its industry association memberships, it also participates in advocating for better fisheries management."
ALDA SEAFOOD,Ocean Health,"Average. The company acknowledges its environmental responsibilities and has initiatives to reduce its carbon footprint through vessel modernization. However, there is a lack of specific, measurable, and time-bound public targets for key ocean health indicators like bycatch and carbon reduction."
ALDA SEAFOOD,Stock Sustainability,"Average. The company publicly states its reliance on scientific advice from ICES for fisheries management, implying that it sources from stocks with regular assessments. While they have a general commitment to sustainable utilization, a more explicit and detailed public policy on avoiding overfished stocks would strengthen their performance in this area."
ALDA SEAFOOD,Transparency,"Average. Alda Seafood has started publishing regular sustainability reports, which is a positive step towards transparency. However, these reports currently lack detailed and comprehensive data on species, sourcing countries, and certification coverage, which is necessary for a ""Good"" rating."
AMERICAN SEAFOODS,Compliance Enforcement,"Poor. While the company operates under a robust U.S. regulatory framework, it has faced major penalties for violations of the Clean Water Act and the Jones Act. There is no public evidence of the company proactively enforcing its own sourcing policies by penalizing suppliers or vessels."
AMERICAN SEAFOODS,Fishing Practices,"Good. The company discloses its fishing methods, claims very low bycatch rates (like most harvesters of Alaska pollock), and local regulations means that a vessel by vessel detail of bycatch data is publicly available to confirm this. They also have a ghost gear recycling program, which is a positive step."
AMERICAN SEAFOODS,Management Governance,"Good. American Seafoods demonstrates strong engagement in fisheries management through participation in regional councils and industry cooperatives. There is board-level oversight for sustainability, and the company collaborates with scientific institutions."
AMERICAN SEAFOODS,Ocean Health,"Average. The company reports on some environmental impacts and has set some targets for carbon reduction and gear recycling. However, there is a lack of specific, time-bound public targets for broader ocean health metrics, and they were recently fined for significant Clean Water Act violations."
AMERICAN SEAFOODS,Stock Sustainability,"Good. American Seafoods sources from fisheries that are subject to regular and rigorous scientific stock assessments, and which are currently considered healthy and sustainably managed. Their entire catch is certified by credible third-party schemes like the MSC."
AMERICAN SEAFOODS,Transparency,"Good. American Seafoods discloses its primary wild-caught species, sourcing locations, and the fact that 100% of its portfolio is certified. The company provides traceability for its products and publishes annual sustainability reports with some environmental data."
AMUR CAVIAR,Compliance Enforcement,"Average. The company's registration with CITES is a critical and credible compliance measure for a producer of an endangered species product. This demonstrates adherence to international regulations, though the company does not provide a broader public policy on IUU fishing."
AMUR CAVIAR,Fishing Practices,Not Applicable. These questions are specific to wild-capture fisheries and do not apply to AMUR CAVIAR's aquaculture-based business model. The company's operations are centered on farming sturgeon in land-based facilities.
AMUR CAVIAR,Management Governance,"Average. The company's very existence as an aquaculture alternative to depleted wild stocks demonstrates a foundational commitment to species management. However, there is no public information on board-level oversight for sustainability or active collaborations with conservation groups, which limits a higher rating."
AMUR CAVIAR,Ocean Health,"Poor. The company makes positive claims about its ""pristine"" water sources and avoidance of antibiotics but provides no third-party assessments or quantitative data to support these claims. There are no publicly available targets or participation in recognized ocean stewardship initiatives."
AMUR CAVIAR,Stock Sustainability,"Good. The company's business model is fundamentally based on alleviating pressure on wild sturgeon populations, which are severely depleted. By creating a large-scale, self-sustaining aquaculture system, it actively avoids sourcing from endangered wild stocks and instead manages its own captive population."
AMUR CAVIAR,Transparency,"Average. The company discloses its farmed species and the country of operation but fails to provide public information on traceability, certification proportions, or sourcing impacts. The lack of regular sustainability reporting and digital traceability information results in a low level of transparency."
ANDFJORD SALMON AS,Compliance Enforcement,"Average. The company commits to due diligence on its suppliers under the Norwegian Transparency Act, and its main feed supplier has strong IUU policies. However, Andfjord Salmon has not published its own detailed due diligence report publicly, and there is no track record of enforcement, which is understandable given its limited time in operation."
ANDFJORD SALMON AS,Fishing Practices,"Average. This rating is based on the company's fish feed, as it does not engage in wild capture itself. The company deserves credit for using a novel ingredient (Calanus finmarchicus) from a well-managed fishery with low bycatch, but it is not fully transparent about the fishing methods for all other marine ingredients in its feed."
ANDFJORD SALMON AS,Management Governance,"Good. There is clear board-level oversight for sustainability, and the company actively collaborates with scientific and technical groups to improve its technology and environmental performance. Their local engagement in protecting wild salmon habitats is a positive sign of responsible governance."
ANDFJORD SALMON AS,Ocean Health,"Good. Andfjord Salmon's land-based flow-through system is designed to minimize local environmental impact, a claim supported by third-party assessments showing no negative effects from its water discharge and high escape-proofing. The company's technology has an exceptionally low energy footprint, although it could improve by setting public, time-bound reduction targets."
ANDFJORD SALMON AS,Stock Sustainability,Good. This rating is based on the company's fish feed. The company's strategic use of the abundant and well-monitored Calanus finmarchicus and algae oil demonstrates a strong commitment to sourcing from sustainable stocks and reducing pressure on traditional forage fish. This innovative approach to feed formulation is a significant positive action.
ANDFJORD SALMON AS,Transparency,"Average. The company is transparent about its farming methods, certification status, and the novel ingredients in its feed. However, it lacks full transparency regarding a complete list of feed-sourcing countries and specific details about its traceability systems."
ANDREW MARR INTERNATIONAL LIMITED,Compliance Enforcement,"Poor. While the company has a Modern Slavery and Human Trafficking Policy, there is no specific, publicly available policy on preventing IUU fishing in their supply chain. In addition, there is no public evidence of the enforcement of their sourcing policies, such as the suspension of non-compliant suppliers."
ANDREW MARR INTERNATIONAL LIMITED,Fishing Practices,"Poor. No detailed public information is available regarding the specific fishing methods, gear selectivity, bycatch rates, or discard data for the company's fishing operations. This lack of disclosure makes it very difficult to assess the environmental impact of their direct fishing activities."
ANDREW MARR INTERNATIONAL LIMITED,Management Governance,"Average. There is evidence of board-level oversight on ethical issues through the Modern Slavery Statement and public statements from the chairman supporting sustainable fisheries management. However, there is a lack of detailed public information about specific governance structures for sustainability and collaborations with scientific or conservation groups on a broader scale."
ANDREW MARR INTERNATIONAL LIMITED,Ocean Health,"Poor. The company does not publicly disclose its environmental impacts on marine ecosystems or set measurable targets for ocean health improvement. While there is limited participation in an anti-litter scheme by one subsidiary, a comprehensive group-wide strategy for ocean health is not apparent."
ANDREW MARR INTERNATIONAL LIMITED,Stock Sustainability,"Average. Subsidiaries hold some key certifications like MSC, which inherently requires sourcing from fisheries with stock assessments and management plans. However, a comprehensive, group-wide public commitment to source only from fisheries with recent stock assessments or to avoid all overfished stocks is not available."
ANDREW MARR INTERNATIONAL LIMITED,Transparency,"Poor. There is a significant lack of public transparency across the Andrew Marr International group. While high-level commitments are made, there is no detailed public disclosure of species, sourcing locations, traceability systems, or the proportion of certified products."
ASIAN SEA CORP PUBLIC CO LTD,Compliance Enforcement,"Average. The company has a stated public policy against IUU fishing as part of its ""CHEERS!"" strategy and references a ""Legal fishing MOU"". However, it does not provide any details on its verification systems or publicly available evidence of how it enforces these policies with its suppliers."
ASIAN SEA CORP PUBLIC CO LTD,Fishing Practices,"Poor. There is a complete lack of public disclosure regarding the fishing methods and gear used in the company's supply chains. The company does not provide any data on bycatch rates or associated mitigation measures, which are critical for assessing the environmental impact of its wild-caught products."
ASIAN SEA CORP PUBLIC CO LTD,Management Governance,"Average. The establishment of a board-level ""Risk Management for Sustainability Committee"" demonstrates a commitment to governance and oversight of sustainability issues. However, there is no public evidence of the company actively advocating for better fisheries management or collaborating with scientific and conservation groups to drive improvements."
ASIAN SEA CORP PUBLIC CO LTD,Ocean Health,"Average. The company has set long-term, high-level targets for GHG emissions reduction (Net Zero by 2050), which is a positive step. However, it lacks specific, detailed, and measurable targets related to direct ocean impacts like bycatch reduction, and does not publicly disclose its impact on marine ecosystems."
ASIAN SEA CORP PUBLIC CO LTD,Stock Sustainability,"Poor. There is no publicly available evidence that the company ensures the fisheries it sources from undergo regular stock assessments or scientific monitoring. The company does not disclose any specific commitments or actions to avoid sourcing from overfished or depleted stocks, which is a fundamental aspect of sustainable seafood procurement."
ASIAN SEA CORP PUBLIC CO LTD,Transparency,"Poor. The company discloses very little specific information regarding its seafood sourcing, such as a full species list or sourcing countries. While it mentions traceability and certifications, it fails to provide quantitative data on the coverage of these programs, and does not participate in voluntary disclosure platforms like the Ocean Disclosure Project."
ATLANTIC SAPPHIRE ASA,Compliance Enforcement,"Average. The company and its primary supplier have clear public policies against IUU fishing in the supply chain. However, there is no publicly available evidence of the company actively enforcing these policies, such as through supplier suspension, which prevents a ""Good"" rating."
ATLANTIC SAPPHIRE ASA,Fishing Practices,"Not Applicable. This category is not applicable to Atlantic Sapphire's direct operations as it is an aquaculture company that does not engage in fishing. For its feed sourcing, the company's impact is addressed under the Stock Assessment and Sustainability category."
ATLANTIC SAPPHIRE ASA,Management Governance,"Good. There is clear board-level oversight for sustainability, with ESG leadership at the executive level and sustainability metrics tied to remuneration. The company's commitment to the UN Global Compact and its detailed corporate governance reporting  are encouraging too."
ATLANTIC SAPPHIRE ASA,Ocean Health,"Good. Even though it is not perfect from a sustainability point of view (high water use, fish welfare concerns), the company's core business model - land-based RAS - is fundamentally designed to mitigate the primary ocean health impacts of conventional aquaculture, such as pollution, disease, and escapes. Public targets for carbon footprint reduction and the elimination of marine-based feed further strengthen its performance in this category."
ATLANTIC SAPPHIRE ASA,Stock Sustainability,"Good. The company demonstrates a strong commitment by relying on credible certifications (MarinTrust) for its current marine ingredients and, more importantly, has a clear, ambitious, and actionable strategy to phase them out entirely. Its investment in and use of alternative ingredients like algal oil is a leading example of reducing pressure on wild fish stocks."
ATLANTIC SAPPHIRE ASA,Transparency,"Average. The company provides regular, GRI-aligned sustainability reports and has achieved ASC certification, which requires significant data disclosure. However, it lacks full public transparency on the specific species and origin countries of all its feed ingredients, which is a key impact area."
ATUNSA,Compliance Enforcement,"Poor. While Atunsa is subject to EU IUU regulations, it does not have a detailed, publicly available policy and verification system to demonstrate how it prevents IUU fishing in its supply chain. There is no public evidence of enforcement actions against non-compliant vessels or suppliers."
ATUNSA,Fishing Practices,"Average. The company is transparent about its use of purse seiners and has public policies to mitigate bycatch through improved FAD design and prohibitions on certain practices. A lack of publicly available quantified data on bycatch and discard rates prevents a ""Good"" rating."
ATUNSA,Management Governance,"Average. Atunsa participates in industry advocacy for better fisheries management through its membership in ANABAC and compliance with RFMOs, and collaborates with scientific institutions. The absence of public information on board-level oversight for sustainability prevents a higher rating."
ATUNSA,Ocean Health,"Average. The company has established public policies and targets for bycatch mitigation, particularly concerning FADs and sharks, and aligns with ISSF recommendations. However, it does not disclose broader environmental impact assessments or specific targets for carbon reduction and support for Marine Protected Areas."
ATUNSA,Stock Sustainability,"Average. Atunsa relies on the stock assessments of the RFMOs it is governed by and has a portion of its catch certified by the MSC. However, a more explicit and comprehensive public commitment to avoid all overfished stocks would strengthen its performance in this category."
ATUNSA,Transparency,"Poor. Atunsa provides very limited public information regarding its sourcing, traceability, and the full scope of its environmental impacts. The lack of a dedicated sustainability report and non-participation in disclosure projects like the ODP, as highlighted by a Planet Tracker report, leaves a substantial gap between its current disclosures and widely accepted transparency expectations."
AUSTEVOLL SEAFOOD ASA,Compliance Enforcement,"Poor. While the company's use of certifications helps mitigate IUU risks, it does not publicly disclose a specific group-level policy and verification system to prevent IUU fishing in its supply chain. In addition, there is no publicly available evidence of the company enforcing its sourcing policies by suspending non-compliant suppliers or vessels."
AUSTEVOLL SEAFOOD ASA,Fishing Practices,"Poor. The company offers limited public information regarding its specific fishing methods, gear selectivity, and associated mitigation measures across its diverse global operations. There is a notable absence of publicly quantified data on bycatch rates and discards, which are critical metrics for assessing the environmental impact of its fishing practices."
AUSTEVOLL SEAFOOD ASA,Management Governance,"Good. There is clear board-level oversight for sustainability, and the company and its subsidiaries actively collaborate with scientific and research institutions to support fisheries management. This demonstrates a strong governance structure and a commitment to basing operations on scientific advice."
AUSTEVOLL SEAFOOD ASA,Ocean Health,"Average. The company acknowledges its impact on ocean health and has set some high-level goals, such as science-based climate targets for its largest subsidiary. It participates in several ocean stewardship initiatives, but public disclosure of comprehensive third-party environmental impact assessments and quantified targets for issues like bycatch is limited."
AUSTEVOLL SEAFOOD ASA,Stock Sustainability,Good. The company demonstrates a strong commitment to sourcing from fisheries that are subject to regular scientific monitoring and stock assessments by national and international bodies. Its collaboration with scientific institutes in its main operating regions provides further evidence of its engagement in sustainable resource management.
AUSTEVOLL SEAFOOD ASA,Transparency,"Average. Austevoll Seafood provides sustainability reports and discloses its main operational areas and species categories, but it lacks a consolidated, comprehensive list of all species and sourcing countries. While subsidiaries have traceability systems, a clear, group-wide, and digitally interoperable system is not detailed, and the company does not participate in the Ocean Disclosure Project."
AUSTRAL FISHERIES,Compliance Enforcement,"Good. Austral Fisheries has a strong public stance and a history of actively working with authorities to combat IUU fishing, particularly in the Southern Ocean."
AUSTRAL FISHERIES,Fishing Practices,"Average. The company publicly supports and uses bycatch reduction technology and adheres to MSC standards, which include requirements for managing fishing impacts. However, it does not publicly disclose quantified data on bycatch or discard rates, which prevents a full external assessment of its operational footprint."
AUSTRAL FISHERIES,Management Governance,"Good. There is clear evidence of strong leadership and governance on sustainability, driven from the CEO level and embedded in the company's core strategy. The company actively advocates for better fisheries management and collaborates extensively with scientific, government, and conservation organizations."
AUSTRAL FISHERIES,Ocean Health,"Good. The company has established itself as a global leader in addressing its carbon impact by achieving and maintaining carbon-neutral status, a significant step for protecting ocean health. It further relies on the third-party assessments of the Marine Stewardship Council to manage its broader ecosystem impacts."
AUSTRAL FISHERIES,Stock Sustainability,"Good. The company’s commitment to sourcing exclusively from fisheries certified to the Marine Stewardship Council standard ensures that its entire catch is subject to regular, science-based stock assessments. This commitment is a core pillar of its public-facing sustainability platform and demonstrates a clear action to avoid overfished stocks."
AUSTRAL FISHERIES,Transparency,"Good. Austral Fisheries demonstrates a high level of transparency through its detailed website, disclosure of MSC-certified species and sourcing regions, and its pioneering use of blockchain traceability. While it lacks a single comprehensive sustainability report, its annual carbon neutral disclosures are detailed and publicly accessible."
AUSTRALIS SEAFOODS SA,Compliance Enforcement,"Poor. The company is embroiled in one of the most significant compliance scandals in the Chilean salmon industry's history, having self-reported years of massive overproduction at numerous sites. This represents a catastrophic failure of internal enforcement and adherence to fundamental environmental regulations, regardless of the recent self-disclosure."
AUSTRALIS SEAFOODS SA,Fishing Practices,Not Applicable. This category is not applicable as Australis Seafoods is an aquaculture company and does not engage in wild-capture fishing. The company's disclosures are related to its farming methods and their environmental impacts.
AUSTRALIS SEAFOODS SA,Management Governance,"Poor. While the company has formal governance structures and sustainability is a stated priority, reports of a systematic, multi-year overproduction scandal suggest a failure in board-level oversight and internal controls."
AUSTRALIS SEAFOODS SA,Ocean Health,"Average. The company discloses some environmental data and has set targets for reducing antibiotic use and energy intensity. Its participation in the Global Salmon Initiative is a positive step, but its environmental performance has been seriously undermined by past sanctions and a massive, prolonged overproduction scandal."
AUSTRALIS SEAFOODS SA,Stock Sustainability,"Average. Through its membership in the GSI, the company is committed to increasing the use of certified marine ingredients in its feed, which indirectly supports the use of assessed and sustainable fish stocks. However, it does not provide direct, detailed public information on the stock status of the specific fisheries in its supply chain."
AUSTRALIS SEAFOODS SA,Transparency,"Average. Australis Seafoods publishes annual sustainability reports using GRI standards and reports key environmental data through the Global Salmon Initiative. However, it lacks full transparency regarding the species and origin of fish used in its feed and does not participate in the Ocean Disclosure Project."
AVANTI FEEDS LIMITED,Compliance Enforcement,"Average. Avanti Feeds has a publicly available Supplier Code of Conduct and its certifications require systems to prevent IUU fish from entering the supply chain. However, there is no publicly available evidence of the company actively enforcing these policies, such as reports on supplier audits or suspensions."
AVANTI FEEDS LIMITED,Fishing Practices,"Not Applicable. This category is not directly applicable as Avanti Feeds is an aquaculture company and does not engage in wild-capture fishing. For its feed ingredients, the company relies on certified sources, but it does not provide detailed public information on the fishing practices of its suppliers."
AVANTI FEEDS LIMITED,Management Governance,"Good. Avanti Feeds demonstrates strong management and governance regarding sustainability, with board-level oversight and a clear commitment to supporting better fisheries management through sourcing certified marine ingredients and participating in FIPs. The company actively collaborates with scientific and conservation groups to promote responsible aquaculture."
AVANTI FEEDS LIMITED,Ocean Health,"Average. The company reports on some environmental initiatives, such as using renewable energy and water recycling, and participates in ocean stewardship initiatives, partly through its association with Thai Union. However, it does not provide specific, measurable public targets for key ocean health metrics like bycatch or carbon reduction."
AVANTI FEEDS LIMITED,Stock Sustainability,"Good. The company shows a commitment to sustainable sourcing for its feed by procuring fishmeal from IFFO RS certified fisheries and participating in FIPs, which rely on scientific stock assessments. It is also actively working to reduce its dependence on marine ingredients by incorporating novel alternatives like algal products."
AVANTI FEEDS LIMITED,Transparency,"Average. Avanti Feeds discloses some information on its sustainability practices, including the development of a digital traceability system and the volume of its certified products. However, it lacks a comprehensive public list of all seafood species and sourcing countries for its feed ingredients and does not report the certified portion of its portfolio as a clear percentage."
BAC LIEU FISHERIES,Compliance Enforcement,"Poor. Despite extensive government efforts to combat IUU fishing in Vietnam, Bac Lieu Fisheries JSC has no publicly available policy to prevent IUU-sourced seafood from entering its supply chain. There is no public information on how it verifies compliance or enforces any sourcing standards."
BAC LIEU FISHERIES,Fishing Practices,"Poor. The company is involved in fishing activities but provides no public information on its fishing methods, gear, bycatch, or any mitigation measures. This applies to both its wild-capture and aquaculture operations, leaving stakeholders with no insight into the on-the-water impact of its sourcing."
BAC LIEU FISHERIES,Management Governance,"Poor. No information could be found to suggest that there is board-level oversight for sustainability, that the company advocates for better fisheries management, or that it collaborates with scientific or conservation groups. This lack of disclosure points to a governance structure that does not publicly prioritize sustainability."
BAC LIEU FISHERIES,Ocean Health,"Poor. There is no publicly available evidence of the company assessing its environmental impact, setting targets for ocean health protection, or participating in any ocean stewardship initiatives. "
BAC LIEU FISHERIES,Stock Sustainability,Poor. The company does not provide any evidence of sourcing from fisheries with regular stock assessments or public commitments to avoid overfished stocks. This lack of disclosure presents a significant risk regarding the sustainability of its wild-caught products.
BAC LIEU FISHERIES,Transparency,"Poor. The company discloses almost no information regarding its seafood sourcing, traceability systems, sustainability certifications, or the environmental impacts of its operations. Its corporate websites were inaccessible, and publicly available financial reports lack any sustainability disclosures."
BAIYANG INVESTMENT GROUP INC,Compliance Enforcement,"Average. The company mentions adherence to regulations and holds BAP certification, which includes clauses against IUU fishing. However, there is a lack of a specific, publicly available policy on preventing IUU fishing and no transparent evidence of enforcement actions against non-compliant suppliers."
BAIYANG INVESTMENT GROUP INC,Fishing Practices,"Poor. The company provides no public information on its fishing methods, gear types, bycatch mitigation measures, or ghost fishing policies for its wild-capture operations. No data on bycatch or discards is disclosed."
BAIYANG INVESTMENT GROUP INC,Management Governance,"Poor. While the company has a standard corporate governance structure, there is no evidence of specific board-level oversight for sustainability or ocean protection. There is also no publicly available information on the company's advocacy for better fisheries management or collaboration with scientific and conservation groups."
BAIYANG INVESTMENT GROUP INC,Ocean Health,"Poor. There is no publicly available information on the company's environmental impacts, nor does it disclose any targets for ocean health protection such as carbon or bycatch reduction. The company does not appear to be a participant in any recognized ocean stewardship initiatives. Intensive tilapia farming in regions where Baiyang operates, faces systemic problems such as nutrient pollution, insufficient wastewater treatment and overuse of antibiotics, which NGOs and researchers flag as widespread."
BAIYANG INVESTMENT GROUP INC,Stock Sustainability,"Poor. The company does not publicly commit to avoiding overfished stocks, and external scientific bodies report that some key stocks in its Mauritanian fishing grounds are overexploited. While the company states it aims for ""rational use"" of resources, it provides no evidence of actions taken to ensure it sources from sustainable populations."
BAIYANG INVESTMENT GROUP INC,Transparency,"Poor. While the company describes a traceability system for tilapia. it discloses limited information on its seafood sourcing and certification coverage. There are no comprehensive species lists, detailed traceability information, or reports on sourcing impacts available to the public."
BAKKAFROST P/F,Compliance Enforcement,"Average. Bakkafrost has clear policies and verification systems to prevent IUU fish from entering its supply chain, primarily through mandatory third-party certification of its feed ingredients. However, there is no publicly available evidence of the company enforcing these policies by suspending non-compliant suppliers, which limits the assessment of its enforcement effectiveness."
BAKKAFROST P/F,Fishing Practices,"Average. This category is primarily relevant to Bakkafrost's feed supply chain, which is a significant part of its footprint. While the company discloses the types of fishing gear used via the Ocean Disclosure Project, it lacks public, quantified data on bycatch and does not provide detailed information on mitigation measures or ghost fishing policies for its suppliers."
BAKKAFROST P/F,Management Governance,"Good. Bakkafrost has a robust governance structure for sustainability, with clear oversight from the Board of Directors and executive management. The company actively collaborates with industry and scientific groups and has a clear policy framework, although its public advocacy can at times conflict with regulatory proposals."
BAKKAFROST P/F,Ocean Health,"Good. The company has set ambitious, science-based targets for carbon reduction and aims for a net-positive impact on the marine environment, which is commendable. Its participation in the Global Salmon Initiative and commitment to the UN SDGs further demonstrate a proactive approach to ocean health."
BAKKAFROST P/F,Stock Sustainability,Good. The company demonstrates a strong commitment to sourcing from sustainable fisheries for its feed by requiring all its marine ingredient suppliers to be certified by credible bodies like MSC or MarinTrust. This reliance on third-party verification provides a robust assurance that the stocks are subject to scientific assessment and are managed for long-term sustainability.
BAKKAFROST P/F,Transparency,"Good. Bakkafrost demonstrates a high level of transparency through its detailed annual integrated reports, adoption of ESRS reporting standards, and participation in the Ocean Disclosure Project for its feed ingredients. While there could be more granular detail on traceability systems and a full, consolidated list of all sourcing countries for feed, the overall commitment to disclosure is strong."
BEAVER STREET FISHERIES,Compliance Enforcement,"Average. Beaver Street Fisheries has a public Supplier Code of Conduct and is involved in initiatives to combat IUU fishing, showing a commitment to compliance. While they have demonstrated enforcement of sourcing policies based on geopolitical events and product recalls, public evidence of suspending suppliers for sustainability breaches is not readily available."
BEAVER STREET FISHERIES,Fishing Practices,"Average. The company discloses the types of fishing gear used for its sourced products via the Ocean Disclosure Project, which is a positive step. However, there is a lack of detailed public information regarding gear selectivity, specific bycatch mitigation measures, and quantified bycatch data."
BEAVER STREET FISHERIES,Management Governance,Good. Beaver Street Fisheries actively engages in fisheries management improvement through strong partnerships with organizations like SFP and WWF on multiple Fishery Improvement Projects. The existence of a dedicated sustainability director and board-level acknowledgment in their reporting points to solid governance and commitment.
BEAVER STREET FISHERIES,Ocean Health,"Average. The company discloses some environmental impact information through the ODP and has set general goals for protecting ocean health. Their participation in ocean stewardship initiatives is commendable, but they lack specific, publicly available, time-bound targets for key metrics like carbon and bycatch reduction."
BEAVER STREET FISHERIES,Stock Sustainability,Good. The company provides evidence of sourcing from assessed fisheries through MSC certifications and the use of sustainability ratings from credible third parties. Their active and long-term engagement in multiple Fishery Improvement Projects demonstrates a clear commitment to avoiding overfished stocks and improving the sustainability of their sources.
